"card_id","id","stepNumber","stepType","title","description","requiredDocs","claimIds","branches"
"service-chuan-bi-tam-tru","prepare","1","procedural","Chuẩn bị thông tin cơ bản","Khi nộp trực tiếp, cung cấp thông tin cơ bản và điều kiện đăng ký cư trú để cán bộ khai thác cơ sở dữ liệu, tạo hồ sơ.","","prepare-info","[]"
"service-chuan-bi-tam-tru","shared","2","procedural","Đối chiếu thông tin đã có","Thông tin, giấy tờ đã được kết nối, chia sẻ và khai thác từ cơ sở dữ liệu hoặc VNeID thì không phải nộp hay xuất trình lại.","","shared-info","[]"
"service-chuan-bi-tam-tru","dorm","3","procedural","Nếu đang ở ký túc xá","Sinh viên ở tập trung trong ký túc xá có thể đăng ký qua đơn vị trực tiếp quản lý chỗ ở.","","dorm-info","[]"
"service-chuan-bi-tam-tru","follow","4","procedural","Giữ mã hồ sơ","Mỗi hồ sơ được cấp mã để theo dõi tiến độ. Bản demo không tra cứu tiến độ hồ sơ cá nhân.","","tracking-info","[]"
"service-chuan-bi-thuong-tru","step-cho-o-hop-phap","1","procedural","Xác định điều kiện chỗ ở hợp pháp","Công dân chuẩn bị giấy tờ chứng minh chỗ ở hợp pháp thuộc quyền sở hữu (sổ đỏ/nhà ở) hoặc hợp đồng thuê mượn có văn bản đồng ý của chủ hộ.","Giấy tờ chứng minh quyền sở hữu chỗ ở hợp pháp hoặc hợp đồng thuê mượn chỗ ở
Văn bản đồng ý của chủ sở hữu chỗ ở hợp pháp (nếu ở nhờ, thuê)","thuong-tru-cho-o","[]"
"service-chuan-bi-thuong-tru","step-nop-ho-so-dvc","2","procedural","Kê khai và nộp hồ sơ trực tuyến","Thực hiện nộp hồ sơ qua Cổng Dịch vụ công Quốc gia hoặc ứng dụng VNeID, điền tờ khai thay đổi thông tin cư trú (mẫu CT01).","Tờ khai thay đổi thông tin cư trú (Mẫu CT01)","thuong-tru-dvc","[]"
"service-dang-nhap-dvc-cu-tru","step-vneid-muc2","1","procedural","Đăng nhập bằng tài khoản VNeID mức 2","Truy cập Cổng DVC Bộ Công an, chọn Đăng nhập bằng VNeID Mức 2 và quét mã QR hoặc nhập số định danh cá nhân trên điện thoại.","","vneid-login-muc2","[]"
"service-dang-nhap-dvc-cu-tru","step-bao-mat","2","procedural","Bảo vệ thông tin đăng nhập","Tuyệt đối không chia sẻ mật khẩu, mã xác thực OTP cho người khác; khi sử dụng máy tính công cộng phải đăng xuất ngay sau khi hoàn thành.","","vneid-bao-mat","[]"
"service-tra-cuu-bo-sung-ho-so-cu-tru","step-nhap-ma-ho-so","1","procedural","Nhập mã hồ sơ tra cứu","Vào mục Tra cứu trên Cổng DVC Bộ Công an, nhập mã hồ sơ được cấp và mã bảo mật để xem trạng thái xử lý.","","lookup-ma-ho-so","[]"
"service-tra-cuu-bo-sung-ho-so-cu-tru","step-nop-bo-sung","2","procedural","Đọc yêu cầu và nộp bổ sung","Xem chi tiết lý do yêu cầu bổ sung trong thông báo, chuẩn bị đúng giấy tờ được yêu cầu và tải lên lại qua cổng trực tuyến.","","bo-sung-online","[]"
"service-chuyen-truong-hoc-sinh","step-rut-ho-so","1","procedural","Rút hồ sơ tại trường nơi đi","Phụ huynh nộp đơn xin chuyển trường tại trường cũ để nhận lại học bạ bản chính, giấy giới thiệu chuyển trường và giấy chứng nhận trúng tuyển.","Đơn xin chuyển trường do cha mẹ hoặc người giám hộ ký
Học bạ bản chính
Giấy chứng nhận trúng tuyển vào lớp đầu cấp (nếu có)","chuyen-truong-ho-so","[]"
"service-chuyen-truong-hoc-sinh","step-nop-truong-den","2","procedural","Nộp hồ sơ tiếp nhận tại trường nơi đến","Nộp toàn bộ hồ sơ kèm giấy tờ chứng minh cư trú hợp pháp tại phường Liên Chiểu cho trường tiếp nhận để hiệu trưởng xem xét giải quyết.","Giấy tờ xác nhận thông tin về cư trú tại phường Liên Chiểu","chuyen-truong-tiep-nhan","[]"
"service-ho-tro-hoc-phi-da-nang","step-xac-dinh-doi-tuong","1","procedural","Xác định đối tượng thụ hưởng chính sách","Chính sách áp dụng đối với trẻ mầm non, học sinh tiểu học, THCS, THPT công lập và ngoài công lập theo quy định của HĐND thành phố.","","hoc-phi-chinh-sach","[]"
"service-ho-tro-hoc-phi-da-nang","step-trien-khai-tai-truong","2","procedural","Thực hiện hỗ trợ qua trường học","Nhà trường nơi học sinh đang theo học lập danh sách và thực hiện miễn thu học phí công lập trực tiếp, phụ huynh không phải làm thủ tục riêng lẻ.","","hoc-phi-chinh-sach","[]"
