"id","version","title","intentIds","jurisdiction.id","jurisdiction.label","applicability","exclusions","review.status","review.owner","review.reviewer","review.reviewedAt","review.reviewDue","review.notes","isSynthetic","keywords","type","body.summary","body.unknownOption.label","body.unknownOption.guidance","body.missingQuestions","body.function","body.address","body.jurisdictionDetail","body.openingHours","body.contactPhone","body.story","body.locality","body.authorOrSource","body.mediaRights"
"service-chuan-bi-tam-tru","1.0.1","Chuẩn bị thông tin đăng ký tạm trú","cu_tru-01","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Người dân và người mới đến phường Liên Chiểu
Sinh viên, người lao động thuê trọ tại địa bàn phường","Đây là hướng dẫn chuẩn bị thông tin, chưa phải checklist hồ sơ đầy đủ đã được phường duyệt.
Địa chỉ, giờ làm việc và điện thoại của cơ quan tiếp nhận cư trú tại phường: chưa xác minh.
Không nhập số định danh, mật khẩu hoặc hồ sơ cá nhân vào bản demo.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","tạm trú
thuê trọ
người mới đến
cư trú
VNeID
ký túc xá","SERVICE","Các việc cần chuẩn bị trước khi liên hệ cơ quan đăng ký cư trú; biên tập từ hướng dẫn Chính phủ tháng 7/2026.","Tôi chưa rõ","Mở nguồn bên dưới để đối chiếu trường hợp của mình; các tình huống chưa rõ cần hỏi cơ quan đăng ký cư trú.","","","","","","","","","",""
"service-chuan-bi-thuong-tru","1.0.0","Chuẩn bị đăng ký thường trú","cu_tru-09","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Công dân chuyển từ tạm trú sang thường trú hoặc mới có chỗ ở hợp pháp tại phường Liên Chiểu","Hướng dẫn chuẩn bị hồ sơ theo quy định chung của Luật Cư trú; không thay thế quyết định thẩm duyệt của cơ quan đăng ký cư trú.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","thường trú
chuyển khẩu
hộ khẩu
chỗ ở hợp pháp
cư trú","SERVICE","Hướng dẫn các điều kiện và tài liệu cần chuẩn bị khi làm thủ tục đăng ký thường trú tại địa phương.","Tôi chưa rõ","Tham khảo hướng dẫn chi tiết trên Cổng Dịch vụ công Quốc gia hoặc liên hệ Công an phường Liên Chiểu.","","","","","","","","","",""
"service-dang-nhap-dvc-cu-tru","1.0.0","Kênh chính thức và hỗ trợ đăng nhập cư trú","cu_tru-05","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Công dân gặp khó khăn khi đăng nhập hoặc thao tác thủ tục cư trú trực tuyến","Không cung cấp mật khẩu, mã OTP hoặc tài khoản cá nhân cho bất kỳ ai, kể cả người hỗ trợ.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","VNeID
đăng nhập
dịch vụ công
định danh điện tử
mức 2","SERVICE","Hướng dẫn sử dụng tài khoản định danh điện tử VNeID mức 2 để đăng nhập cổng dịch vụ công an toàn.","Tôi chưa rõ","Đến Điểm hỗ trợ số cộng đồng tại 68 Lạc Long Quân hoặc Công an phường để được hỗ trợ kích hoạt.","","","","","","","","","",""
"service-tra-cuu-bo-sung-ho-so-cu-tru","1.0.0","Tra cứu và làm rõ yêu cầu bổ sung hồ sơ cư trú","cu_tru-06","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Công dân đã nộp hồ sơ cư trú trực tuyến và cần kiểm tra tiến độ hoặc nhận yêu cầu chỉnh sửa","Hệ thống demo không lưu trữ hay tra cứu trực tiếp dữ liệu cá nhân của công dân.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","tra cứu
bổ sung hồ sơ
tiến độ
mã hồ sơ
cư trú","SERVICE","Cách tra cứu tiến độ hồ sơ trực tuyến và các bước thực hiện khi cơ quan công an yêu cầu bổ sung giấy tờ.","Tôi chưa rõ","Mang mã hồ sơ đến Công an phường Liên Chiểu để được giải thích trực tiếp nội dung cần bổ sung.","","","","","","","","","",""
"service-chuyen-truong-hoc-sinh","1.0.0","Hướng dẫn thủ tục chuyển trường phổ thông","hoc_tap-03","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Học sinh và phụ huynh chuyển chỗ ở đến phường Liên Chiểu có nhu cầu chuyển trường THCS hoặc THPT","Việc tiếp nhận chuyển trường phụ thuộc chỉ tiêu tuyển sinh và quyết định của hiệu trưởng trường nơi đến.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","chuyển trường
học sinh
THCS
THPT
học bạ","SERVICE","Quy trình và thành phần hồ sơ xin chuyển trường phổ thông khi chuyển nơi cư trú đến phường Liên Chiểu.","Tôi chưa rõ","Liên hệ trực tiếp bộ phận văn thư hoặc ban giám hiệu trường dự định chuyển đến để nắm chỉ tiêu.","","","","","","","","","",""
"service-ho-tro-hoc-phi-da-nang","1.0.0","Chính sách hỗ trợ học phí học sinh Đà Nẵng","hoc_tap-05","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Trẻ em mầm non và học sinh phổ thông đang theo học tại các cơ sở giáo dục trên địa bàn TP. Đà Nẵng","Mức hỗ trợ và đối tượng áp dụng thực hiện theo nghị quyết chuyên đề của HĐND thành phố từng năm học.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","học phí
hỗ trợ học phí
miễn giảm
mầm non
học sinh","SERVICE","Thông tin về chính sách đặc thù của thành phố Đà Nẵng hỗ trợ 100% học phí công lập cho học sinh trên địa bàn.","Tôi chưa rõ","Hỏi giáo viên chủ nhiệm hoặc ban giám hiệu trường nơi con đang theo học.","","","","","","","","","",""
"service-tham-gia-bhyt-ho-gia-dinh","1.0.0","Tìm thông tin tham gia bảo hiểm y tế hộ gia đình","y_te-04","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Công dân cư trú tại phường Liên Chiểu chưa tham gia BHYT theo diện bắt buộc khác","Mức giảm đóng BHYT chỉ áp dụng khi các thành viên cùng tham gia trong một năm tài chính.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","BHYT
bảo hiểm y tế
hộ gia đình
mức đóng
VssID","SERVICE","Hướng dẫn mức đóng và các điểm đăng ký tham gia bảo hiểm y tế hộ gia đình tại phường Liên Chiểu.","Tôi chưa rõ","Hỏi nhân viên bưu điện điểm thu BHXH hoặc công chức Văn hóa - Xã hội phường Liên Chiểu.","","","","","","","","","",""
"service-phan-loai-rac-tai-nguon","1.0.0","Hướng dẫn phân loại rác tại nguồn khu dân cư","moi_truong-02","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Hộ gia đình, phòng trọ và cơ sở kinh doanh trên địa bàn phường Liên Chiểu","Rác thải cồng kềnh, phế thải xây dựng có quy định thu gom riêng, không bỏ chung vào tuyến rác sinh hoạt hàng ngày.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","phân loại rác
rác tái chế
môi trường
thu gom rác
khu dân cư","SERVICE","Quy định phân loại rác thải sinh hoạt thành 3 nhóm và thời gian chuyển giao rác đúng giờ tại khu dân cư.","Tôi chưa rõ","Hỏi tổ trưởng tổ dân phố hoặc liên hệ Đội Môi trường đô thị phục vụ khu vực.","","","","","","","","","",""
"place-trung-tam-hanh-chinh-lien-chieu","1.0.1","Trung tâm Phục vụ hành chính công phường Liên Chiểu","dia_diem-01","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Người dân và người mới đến phường Liên Chiểu có nhu cầu giải quyết thủ tục hành chính một cửa","Địa chỉ theo công bố chính thức tháng 7/2025. Không suy ra đây là nơi tiếp nhận hồ sơ tạm trú của Công an.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","một cửa
hành chính công
UBND
68 Lạc Long Quân
Lạc Long Quân","PLACE","","","","","Địa điểm Trung tâm Phục vụ hành chính công và trụ sở UBND phường tiếp nhận thủ tục hành chính theo cơ chế một cửa.","68 đường Lạc Long Quân, phường Liên Chiểu, TP. Đà Nẵng","Trụ sở UBND và Trung tâm hành chính công phường Liên Chiểu sau sắp xếp đơn vị hành chính năm 2025.","Chưa xác minh","Chưa xác minh","","","",""
"place-cong-an-phuong-lien-chieu","1.0.0","Công an phường Liên Chiểu","dia_diem-02","lien-chieu-2025","Phường Liên Chiểu, TP. Đà Nẵng","Công dân liên hệ làm thủ tục cư trú, cấp căn cước, VNeID và phản ánh an ninh trật tự trên địa bàn phường","Không bao gồm thẩm quyền giải quyết của Công an quận Liên Chiểu cũ đối với các vụ việc ngoài địa bàn cấp xã.","published","UBND Phường Liên Chiểu","Tổ rà soát Chuyển đổi số Phường Liên Chiểu","2026-09-19","2027-09-19","Đã rà soát và phê duyệt chính thức đưa vào sử dụng phục vụ nhân dân.
Người dùng xác nhận duyệt nội dung trong phiên làm việc 19/09/2026.","false","công an
công an phường
cư trú
an ninh
66 Lạc Long Quân","PLACE","","","","","Cơ quan Công an cấp cơ sở quản lý an ninh trật tự, tiếp nhận và giải quyết hồ sơ đăng ký thường trú, tạm trú, định danh điện tử trên địa bàn.","66 đường Lạc Long Quân, phường Liên Chiểu, TP. Đà Nẵng","Cơ quan công an phụ trách địa bàn phường Liên Chiểu mới.","Chưa xác minh","Chưa xác minh","","","",""
