"id","name","category","categoryLabel","address","street","ward","source","verificationMethod","coordinates.lat","coordinates.lng","notes"
"osm-729406384","CaPhe Thu Uyen","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08744","108.14454",""
"osm-729406388","CaPhe Fantasy","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.0633","108.16015",""
"osm-729406390","KieuLien Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07863","108.14775",""
"osm-729406391","Cafe Truc Phuong","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06846","108.15",""
"osm-729406397","CaPhe Sao Mai","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06686","108.17436",""
"osm-729406402","Ca Phe Thuan","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.0516","108.17",""
"osm-729406410","CafeBao Dang","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06745","108.15255",""
"osm-729406429","ThanhThuy Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.0872","108.14432",""
"osm-729406430","CaPhe Long","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06777","108.15938",""
"osm-729406433","CaPhe Bong Da 14","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07503","108.14921",""
"osm-729406459","ThuyVan Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.0829","108.14598",""
"osm-729406461","Ca Phe Trung","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05649","108.16663",""
"osm-729406462","Ca Phe Cam Ni","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.05255","108.17963",""
"osm-729406469","CaPhe Minh Khanh","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08552","108.14457",""
"osm-729406471","55Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07334","108.17757",""
"osm-729406472","PlanttreesCoffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.09961","108.13551",""
"osm-729406474","TigonCoffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.1138","108.12772",""
"osm-729406476","TrungDuong Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.07379","108.14936",""
"osm-729406481","CafeMuzik","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06544","108.1547",""
"osm-729406482","LyNa Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.10817","108.13122",""
"osm-729406490","74Coffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.0721","108.17875",""
"osm-729406500","Ca Phe Thanh Huyen","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.06879","108.16681",""
"osm-729406501","TuanCoffee","food","Ẩm thực & Đời sống","Đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng","Nguyễn Lương Bằng","Phường Liên Chiểu","OpenStreetMap","boundary_confirmed","16.08719","108.14388",""
