"card_id","id","claim","sourceId"
"service-chuan-bi-tam-tru","prepare-info","Khi nộp trực tiếp, cung cấp thông tin cơ bản và điều kiện đăng ký cư trú để cán bộ khai thác cơ sở dữ liệu, tạo hồ sơ.","residence-2026"
"service-chuan-bi-tam-tru","shared-info","Thông tin, giấy tờ đã được kết nối, chia sẻ và khai thác từ cơ sở dữ liệu hoặc VNeID thì không phải nộp hay xuất trình lại.","residence-2026"
"service-chuan-bi-tam-tru","dorm-info","Sinh viên ở tập trung trong ký túc xá có thể đăng ký qua đơn vị trực tiếp quản lý chỗ ở.","temporary-residence-2026"
"service-chuan-bi-tam-tru","tracking-info","Mỗi hồ sơ được cấp mã để theo dõi tiến độ. Bản demo không tra cứu tiến độ hồ sơ cá nhân.","residence-2026"
"service-chuan-bi-tam-tru","ward-boundary","Phường Liên Chiểu gồm Hòa Khánh Bắc cũ và phần còn lại của Hòa Liên sau điều chỉnh sang Hải Vân; không phải toàn bộ quận Liên Chiểu cũ.","ward-2025"
"service-chuan-bi-thuong-tru","thuong-tru-cho-o","Công dân có chỗ ở hợp pháp thuộc quyền sở hữu của mình thì được đăng ký thường trú tại chỗ ở hợp pháp đó.","residence-law-2020"
"service-chuan-bi-thuong-tru","thuong-tru-dvc","Hồ sơ gồm Tờ khai thay đổi thông tin cư trú và giấy tờ, tài liệu chứng minh chỗ ở hợp pháp, nộp qua Cổng Dịch vụ công hoặc VNeID.","dvc-thuong-tru"
"service-dang-nhap-dvc-cu-tru","vneid-login-muc2","Sử dụng tài khoản VNeID mức độ 2 để đăng nhập các dịch vụ công trực tuyến và thủ tục cư trú.","vneid-dvc-guide"
"service-dang-nhap-dvc-cu-tru","vneid-bao-mat","Bảo mật tài khoản VNeID, không giao mã OTP hoặc mật khẩu cho người hỗ trợ.","vneid-dvc-guide"
"service-tra-cuu-bo-sung-ho-so-cu-tru","lookup-ma-ho-so","Nhập mã hồ sơ và mã xác thực để tra cứu trạng thái xử lý, văn bản yêu cầu bổ sung trên Cổng DVC BCA.","dvc-bca-lookup"
"service-tra-cuu-bo-sung-ho-so-cu-tru","bo-sung-online","Thực hiện nộp bổ sung tài liệu theo đúng thông báo yêu cầu của cán bộ tiếp nhận trên Cổng DVC.","dvc-bca-lookup"
"service-chuyen-truong-hoc-sinh","chuyen-truong-ho-so","Hồ sơ chuyển trường gồm đơn xin chuyển trường, học bạ bản chính, giấy chứng nhận trúng tuyển và giấy tờ xác nhận nơi cư trú.","so-gddt-danang"
"service-chuyen-truong-hoc-sinh","chuyen-truong-tiep-nhan","Hiệu trưởng trường nơi đến kiểm tra và tiếp nhận hồ sơ theo đúng phân tuyến và chỉ tiêu sĩ số.","dvc-chuyen-truong"
"service-ho-tro-hoc-phi-da-nang","hoc-phi-chinh-sach","Hỗ trợ 100% học phí công lập cho trẻ em mầm non và học sinh phổ thông trên địa bàn thành phố Đà Nẵng.","nq-hoc-phi-danang"
"service-tham-gia-bhyt-ho-gia-dinh","bhyt-muc-dong","Mức đóng BHYT hộ gia đình được giảm dần từ người thứ hai trở đi trong cùng hộ gia đình.","bhxh-danang-bhyt"
"service-tham-gia-bhyt-ho-gia-dinh","bhyt-diem-thu","Có thể đăng ký nộp tiền BHYT qua đại lý thu bưu điện, UBND phường hoặc Cổng Dịch vụ công trực tuyến.","bhxh-danang-bhyt"
"service-phan-loai-rac-tai-nguon","rac-3-nhom","Chất thải rắn sinh hoạt được phân chia thành chất thải tái chế, chất thải nguy hại và chất thải còn lại.","danang-phan-loai-rac"
"service-phan-loai-rac-tai-nguon","rac-lich-thu-gom","Chuyển giao chất thải cho đơn vị thu gom đúng giờ và đúng vị trí quy định của tổ dân phố.","danang-phan-loai-rac"
"place-trung-tam-hanh-chinh-lien-chieu","center-address","Công bố địa chỉ đặt trụ sở UBND và Trung tâm Phục vụ hành chính công phường tại 68 Lạc Long Quân.","public-center-2025"
"place-trung-tam-hanh-chinh-lien-chieu","ward-boundary","Phường Liên Chiểu gồm Hòa Khánh Bắc cũ và phần còn lại của Hòa Liên sau điều chỉnh sang Hải Vân; không phải toàn bộ quận Liên Chiểu cũ.","ward-2025"
"place-cong-an-phuong-lien-chieu","ca-address","Công an phường Liên Chiểu đặt trụ sở tại số 66 đường Lạc Long Quân, phường Liên Chiểu.","cong-an-lien-chieu-2025"
"place-tram-y-te-lien-chieu","tyt-address","Trạm Y tế phường Liên Chiểu đặt tại số 178 đường Âu Cơ, phường Liên Chiểu.","tram-y-te-lien-chieu"
"place-diem-ho-tro-so-cong-dong","to-so-location","Điểm hỗ trợ số công cộng đặt tại sảnh Bộ phận một cửa 68 Lạc Long Quân do thanh niên tình nguyện trực.","to-cong-nghe-so-lien-chieu"
"place-dai-hoc-bach-khoa-da-nang","dut-address","Trụ sở chính Trường Đại học Bách khoa – ĐHĐN tại số 54 đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng.","dh-bach-khoa-danang"
"place-cao-dang-kinh-te-ke-hoach","cep-address","Địa chỉ Trường Cao đẳng Kinh tế - Kế hoạch tại số 143 đường Nguyễn Lương Bằng, phường Liên Chiểu, TP. Đà Nẵng.","cd-kinh-te-ke-hoach"
