"card_id","id","url","title","publisher","relevantExcerpt","sourceDate","fetchedAt"
"service-chuan-bi-tam-tru","residence-2026","https://xaydungchinhsach.chinhphu.vn/mot-so-diem-moi-co-ban-cua-luat-cu-tru-sua-doi-va-thong-tu-116-2026-tt-bca-119260714094901372.htm","Điểm mới về cư trú và Thông tư 116/2026/TT-BCA","Báo điện tử Chính phủ","các thông tin cơ bản […] không yêu cầu công dân nộp lại giấy tờ […] Mỗi hồ sơ được cấp một mã số","2026-07-14","2026-09-19T00:00:00+07:00"
"service-chuan-bi-tam-tru","temporary-residence-2026","https://xaydungchinhsach.chinhphu.vn/quy-dinh-dang-ky-tam-tru-119260720101630132.htm","Quy định đăng ký tạm trú","Báo điện tử Chính phủ","có thể thực hiện đăng ký tạm trú thông qua cơ quan, tổ chức quản lý trực tiếp chỗ ở đó","2026-07-21","2026-09-19T00:00:00+07:00"
"service-chuan-bi-tam-tru","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"service-chuan-bi-thuong-tru","residence-law-2020","https://vanban.chinhphu.vn/?pageid=27160&docid=202166","Luật Cư trú số 68/2020/QH14","Cổng Thông tin điện tử Chính phủ","Công dân có chỗ ở hợp pháp thuộc quyền sở hữu của mình thì được đăng ký thường trú tại chỗ ở hợp pháp đó","2020-11-13","2026-09-19T00:00:00+07:00"
"service-chuan-bi-thuong-tru","dvc-thuong-tru","https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-nganh-doc.html?ma_thu_tuc=1.004222","Thủ tục Đăng ký thường trú","Cổng Dịch vụ công Quốc gia","Hồ sơ gồm Tờ khai thay đổi thông tin cư trú và giấy tờ, tài liệu chứng minh chỗ ở hợp pháp","2024-03-01","2026-09-19T00:00:00+07:00"
"service-chuan-bi-thuong-tru","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"service-dang-nhap-dvc-cu-tru","vneid-dvc-guide","https://dichvucong.gov.vn/p/home/dvc-huong-dan-dang-nhap-vneid.html","Hướng dẫn đăng nhập Cổng Dịch vụ công bằng tài khoản định danh điện tử VNeID","Cổng Dịch vụ công Quốc gia","Sử dụng tài khoản VNeID mức độ 2 để đăng nhập các dịch vụ công trực tuyến và thủ tục cư trú","2024-06-15","2026-09-19T00:00:00+07:00"
"service-dang-nhap-dvc-cu-tru","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
"service-tra-cuu-bo-sung-ho-so-cu-tru","dvc-bca-lookup","https://dichvucong.bocongan.gov.vn/bocongan/tracuu","Tra cứu tiến độ hồ sơ dịch vụ công Bộ Công an","Cổng Dịch vụ công Bộ Công an","Nhập mã hồ sơ và mã xác thực để tra cứu trạng thái xử lý, văn bản yêu cầu bổ sung","2024-01-10","2026-09-19T00:00:00+07:00"
"service-tra-cuu-bo-sung-ho-so-cu-tru","ward-2025","https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-1659-nq-ubtvqh15-sap-xep-cac-dvhc-cap-xa-cua-thanh-pho-da-nang-nam-2025-119250616202714604.htm","Nghị quyết 1659: địa bàn phường Liên Chiểu","Báo điện tử Chính phủ","phường Hòa Khánh Bắc và phần còn lại của xã Hòa Liên","2025-06-20","2026-09-19T00:00:00+07:00"
