id,intent_id,domain,profile_id,stress_id,profile_mode,flag,synthetic,base_story,user_story,given,when,scope_supported,decision_reason,expected_action,output_type,then,ui_requirement,failure_to_avoid,acceptance,evidence_status
LC-00001,cu_tru-01,cu_tru,P01,S01,self,clean,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: thông tin tối thiểu đã rõ, nguồn và đầu mối trong mô hình đã được duyệt.","thông tin tối thiểu đã rõ, nguồn và đầu mối trong mô hình đã được duyệt",Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,"Nhu cầu trong phạm vi, điều kiện mô hình đã rõ và nội dung mô hình đã duyệt.",PREPARE,SERVICE,"Tạo phiếu chuẩn bị theo nhánh đã duyệt; thể hiện điều đã biết, điều cần hỏi, nguồn và bước tiếp theo.","hiển thị ngắn, rõ từng bước",không biến phiếu chuẩn bị thành kết luận đủ điều kiện,"Thực hiện PREPARE; hiển thị ngắn, rõ từng bước; không biến phiếu chuẩn bị thành kết luận đủ điều kiện.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00002,cu_tru-01,cu_tru,P01,S02,self,unknown_area,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: chỉ biết tên quận cũ, chưa xác định phường hiện tại.","chỉ biết tên quận cũ, chưa xác định phường hiện tại",Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Chưa xác định địa bàn thì không áp nội dung địa phương.,ASK_AREA,SERVICE,Hỏi lại phường hiện tại hoặc hỗ trợ xác minh địa bàn; chưa xuất checklist địa phương.,"hiển thị ngắn, rõ từng bước",không đoán địa giới từ tên đường hoặc tên quận cũ,"Thực hiện ASK_AREA; hiển thị ngắn, rõ từng bước; không đoán địa giới từ tên đường hoặc tên quận cũ.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00003,cu_tru-01,cu_tru,P01,S03,self,outside,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: xác nhận việc cần giải quyết ở ngoài phường Liên Chiểu.",xác nhận việc cần giải quyết ở ngoài phường Liên Chiểu,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Phạm vi hướng dẫn phụ thuộc địa bàn được xác nhận.,OUTSIDE,SERVICE,Thông báo ngoài địa bàn; mở danh mục chính thức để người dùng chọn nơi phù hợp.,"hiển thị ngắn, rõ từng bước",không áp hướng dẫn địa phương sang nơi khác,"Thực hiện OUTSIDE; hiển thị ngắn, rõ từng bước; không áp hướng dẫn địa phương sang nơi khác.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00004,cu_tru-01,cu_tru,P01,S04,self,stale,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: nguồn hướng dẫn đã quá ngày rà soát quy định trong bộ dữ liệu.",nguồn hướng dẫn đã quá ngày rà soát quy định trong bộ dữ liệu,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Nguồn không đạt điều kiện phát hành hướng dẫn chi tiết.,REVIEW_SOURCE,SERVICE,Tạm ngừng chi tiết bị ảnh hưởng; hiển thị nhu cầu cần xác minh và đầu mối đã xác nhận nếu có.,"hiển thị ngắn, rõ từng bước",không trình bày dữ liệu cũ như đang còn hiệu lực,"Thực hiện REVIEW_SOURCE; hiển thị ngắn, rõ từng bước; không trình bày dữ liệu cũ như đang còn hiệu lực.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00005,cu_tru-01,cu_tru,P01,S05,self,conflict,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: hai nguồn chính thức đưa thông tin khác nhau.",hai nguồn chính thức đưa thông tin khác nhau,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Nguồn không đạt điều kiện phát hành hướng dẫn chi tiết.,REVIEW_SOURCE,SERVICE,Tạm ngừng chi tiết bị ảnh hưởng; hiển thị nhu cầu cần xác minh và đầu mối đã xác nhận nếu có.,"hiển thị ngắn, rõ từng bước",không tự chọn nguồn thuận tiện hoặc ghép hai phiên bản,"Thực hiện REVIEW_SOURCE; hiển thị ngắn, rõ từng bước; không tự chọn nguồn thuận tiện hoặc ghép hai phiên bản.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00006,cu_tru-01,cu_tru,P01,S06,self,missing_fact,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: người dùng chưa biết một điều kiện quyết định nhánh.",người dùng chưa biết một điều kiện quyết định nhánh,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Thiếu thông tin để chọn nhánh; cần làm rõ trước.,ASK_FACT,SERVICE,"Hỏi một điều kiện còn thiếu bằng lựa chọn có phương án không biết; nếu vẫn thiếu, lập phiếu câu hỏi.","hiển thị ngắn, rõ từng bước",cho phép không biết; không tự điền điều kiện,"Thực hiện ASK_FACT; hiển thị ngắn, rõ từng bước; cho phép không biết; không tự điền điều kiện.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00007,cu_tru-01,cu_tru,P01,S07,self,sensitive,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: người dùng định dán ảnh căn cước hoặc mã đăng nhập vào ô hỏi.",người dùng định dán ảnh căn cước hoặc mã đăng nhập vào ô hỏi,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Đầu vào nhạy cảm không cần thiết cho nhiệm vụ chuẩn bị.,REMOVE_SENSITIVE,SERVICE,"Không nhận ảnh giấy tờ, mật khẩu, OTP; bỏ nội dung nhạy cảm và tiếp tục bằng thông tin phân loại.","hiển thị ngắn, rõ từng bước",chặn đầu vào nhạy cảm trước khi gửi ra dịch vụ ngoài,"Thực hiện REMOVE_SENSITIVE; hiển thị ngắn, rõ từng bước; chặn đầu vào nhạy cảm trước khi gửi ra dịch vụ ngoài.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00008,cu_tru-01,cu_tru,P01,S08,self,offline,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: mất mạng sau khi đã mở được phiếu, không thể kiểm tra phiên bản mới.","mất mạng sau khi đã mở được phiếu, không thể kiểm tra phiên bản mới",Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,"Có thể xem lại phiếu, nhưng không thể xác minh tính mới khi mất mạng.",OFFLINE_VIEW,SERVICE,"Xem lại phiếu và ngày rà soát đã lưu tự nguyện; chờ có mạng để xác minh tiếp, không gửi gì.","hiển thị ngắn, rõ từng bước",chỉ xem lại phiếu có mốc thời gian; không khẳng định vừa xác minh,"Thực hiện OFFLINE_VIEW; hiển thị ngắn, rõ từng bước; chỉ xem lại phiếu có mốc thời gian; không khẳng định vừa xác minh.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00009,cu_tru-01,cu_tru,P01,S09,self,ai_down,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: dịch vụ AI hết hạn mức hoặc không phản hồi.",dịch vụ AI hết hạn mức hoặc không phản hồi,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,"Nhu cầu trong phạm vi, điều kiện mô hình đã rõ và nội dung mô hình đã duyệt.",PREPARE,SERVICE,"Tạo phiếu chuẩn bị theo nhánh đã duyệt; thể hiện điều đã biết, điều cần hỏi, nguồn và bước tiếp theo.","hiển thị ngắn, rõ từng bước",luồng lựa chọn và phiếu đã duyệt vẫn phải dùng được,"Thực hiện PREPARE; hiển thị ngắn, rõ từng bước; luồng lựa chọn và phiếu đã duyệt vẫn phải dùng được.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
LC-00010,cu_tru-01,cu_tru,P01,S10,self,urgent,True,"Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác.","Là người có thể tự thao tác trên điện thoại cá nhân, tôi muốn nhận diện việc cần hỏi khi mới thuê trọ, để không nhầm nhu cầu với thủ tục khác. Bối cảnh hiện tại: đang có nguy cơ an toàn tức thời tại nơi ở hoặc nơi người dùng hiện diện.",đang có nguy cơ an toàn tức thời tại nơi ở hoặc nơi người dùng hiện diện,Người dùng bắt đầu hoặc tiếp tục nhu cầu trên LC Compass.,True,Nguy cơ tức thời được ưu tiên hơn hành trình thủ tục.,URGENT_HELP,SERVICE,Dừng hành trình thủ tục; ưu tiên liên hệ trợ giúp khẩn đã xác minh hoặc người hỗ trợ tại chỗ.,"hiển thị ngắn, rõ từng bước","ưu tiên tìm trợ giúp khẩn phù hợp, không tiếp tục hỏi thủ tục","Thực hiện URGENT_HELP; hiển thị ngắn, rõ từng bước; ưu tiên tìm trợ giúp khẩn phù hợp, không tiếp tục hỏi thủ tục.",Giả định cho thiết kế; chưa kiểm tra trên người thật hoặc AI thật.
